Kenpom.com,Team,Mascot,Conference,Team First season (Div I)
Georgetown,Georgetown,Hoyas,Big East Conference,2004–05
Georgia,Georgia,Bulldogs,Southeastern Conference,2009–10
Georgia Southern,Georgia Southern,Eagles,Sun Belt Conference,2013–14
Georgia St.,Georgia State,Panthers,Sun Belt Conference,2011–12
Georgia Tech,Georgia Tech,Yellow Jackets,Atlantic Coast Conference,2016–17
Gonzaga,Gonzaga,Bulldogs,West Coast Conference,1999–2000
Grambling St.,Grambling State,Tigers,Southwestern Athletic Conference,2014–15
Grand Canyon,Grand Canyon,Antelopes,Western Athletic Conference,2013–14
Green Bay,Green Bay,Phoenix,Horizon League,2015–16
Hampton,Hampton,Pirates,Mid-Eastern Athletic Conference,2009–10
Hartford,Hartford,Hawks,America East Conference,2010–11
Harvard,Harvard,Crimson,Ivy League,2007–08
Hawaii,Hawaii,Rainbow Warriors,Big West Conference,2015–16
High Point,High Point,Panthers,Big South Conference,2009–10
Hofstra,Hofstra,Pride,Colonial Athletic Association,2013–14
Holy Cross,Holy Cross,Crusaders,Patriot League,2015–16
Houston,Houston,Cougars,American Athletic Conference,2014–15
Houston Baptist,Houston Baptist,Huskies,Southland Conference,2007–08
Howard,Howard,Bison,Mid-Eastern Athletic Conference,2010–11
Idaho,Idaho,Vandals,Big Sky Conference,2008–09
Idaho St.,Idaho State,Bengals,Big Sky Conference,2012–13
Illinois,Illinois,Fighting Illini,Big Ten Conference,2012–13
Illinois St.,Illinois State,Redbirds,Missouri Valley Conference,2012–13
Incarnate Word,Incarnate Word,Cardinals,Southland Conference,2013–14
Indiana,Indiana,Hoosiers,Big Ten Conference,2008–09
Indiana St.,Indiana State,Sycamores,Missouri Valley Conference,2010–11
Iona,Iona,Gaels,Metro Atlantic Athletic Conference,2010–11
Iowa,Iowa,Hawkeyes,Big Ten Conference,2010–11
Iowa St.,Iowa State,Cyclones,Big 12 Conference,2015–16
IUPUI,IUPUI,Jaguars,Summit League,2014–15
Jackson St.,Jackson State,Tigers,Southwestern Athletic Conference,2013–14
Jacksonville,Jacksonville,Dolphins,Atlantic Sun Conference,2014–15
Jacksonville St.,Jacksonville State,Gamecocks,Ohio Valley Conference,2016–17
James Madison,James Madison,Dukes,Colonial Athletic Association,2016–17
Kansas,Kansas,Jayhawks,Big 12 Conference,2003–04
Kansas St.,Kansas State,Wildcats,Big 12 Conference,2012–13
Kennesaw St.,Kennesaw State,Owls,Atlantic Sun Conference,2015–16
Kent St.,Kent State,Golden Flashes,Mid-American Conference,2011–12
Kentucky,Kentucky,Wildcats,Southeastern Conference,2009–10
La Salle,La Salle,Explorers,Atlantic 10 Conference,2004–05
Lafayette,Lafayette,Leopards,Patriot League,1995–96
Lamar,Lamar,Cardinals,Southland Conference,2014–15
Lehigh,Lehigh,Mountain Hawks,Patriot League,2007–08
Liberty,Liberty,Flames,Big South Conference,2015–16
Lipscomb,Lipscomb,Bisons,Atlantic Sun Conference,2013–14
Little Rock,Little Rock,Trojans,Sun Belt Conference,2016–17
LIU Brooklyn,LIU Brooklyn,Blackbirds,Northeast Conference,2012–13
Long Beach St.,Long Beach State,49ers,Big West Conference,2007–08
Longwood,Longwood,Lancers,Big South Conference,2013–14
Louisiana Lafayette,Louisiana–Lafayette,Ragin' Cajuns,Sun Belt Conference,2010–11
Louisiana Monroe,Louisiana–Monroe,Warhawks,Sun Belt Conference,2010–11
Louisiana Tech,Louisiana Tech,Bulldogs,Conference USA,2015–16
Louisville,Louisville,Cardinals,Atlantic Coast Conference,2001–02
Loyola Chicago,Loyola (Chicago),Ramblers,Missouri Valley Conference,2011–12
Loyola MD,Loyola (Maryland),Greyhounds,Patriot League,2013–14
Loyola Marymount,Loyola Marymount,Lions,West Coast Conference,2014–15
LSU,LSU,Tigers,Southeastern Conference,2012–13
Maine,Maine,Black Bears,America East Conference,2014–15
Manhattan,Manhattan,Jaspers,Metro Atlantic Athletic Conference,2011–12
Marist,Marist,Red Foxes,Metro Atlantic Athletic Conference,2014–15
Marquette,Marquette,Golden Eagles,Big East Conference,2014–15
Marshall,Marshall,Thundering Herd,Conference USA,2014–15
Maryland,Maryland,Terrapins,Big Ten Conference,2011–12
Maryland Eastern Shore,Maryland Eastern Shore,Hawks,Mid-Eastern Athletic Conference,2014–15
McNeese St.,McNeese State,Cowboys,Southland Conference,2006–07
Memphis,Memphis,Tigers,American Athletic Conference,2016–17
Mercer,Mercer,Bears,Southern Conference,2008–09
Miami FL,Miami,Hurricanes,Atlantic Coast Conference,2011–12
Miami OH,Miami,RedHawks,Mid-American Conference,2012–13
Michigan,Michigan,Wolverines,Big Ten Conference,2007–08
Michigan St.,Michigan State,Spartans,Big Ten Conference,1995–96
Middle Tennessee,Middle Tennessee,Blue Raiders,Conference USA,2002–03
Milwaukee,Milwaukee,Panthers,Horizon League,2016–17
Minnesota,Minnesota,Golden Gophers,Big Ten Conference,2013–14
Mississippi St.,Mississippi State,Bulldogs,Southeastern Conference,2015–16
Mississippi Valley St.,Mississippi Valley State,Delta Devils,Southwestern Athletic Conference,2014–15
Missouri,Missouri,Tigers,Southeastern Conference,2014–15
Missouri St.,Missouri State,Bears,Missouri Valley Conference,2011–12
Monmouth,Monmouth,Hawks,Metro Atlantic Athletic Conference,2011–12
Montana,Montana,Grizzlies,Big Sky Conference,2014–15
Montana St.,Montana State,Bobcats,Big Sky Conference,2014–15
Morehead St.,Morehead State,Eagles,Ohio Valley Conference,2016–17
Morgan St.,Morgan State,Bears,Mid-Eastern Athletic Conference,2006–07
Mount St. Mary's,Mount St. Mary's,Mountaineers,Northeast Conference,2012–13
Murray St.,Murray State,Racers,Ohio Valley Conference,2015–16
Navy,Navy,Midshipmen,Patriot League,2011–12
North Carolina St.,NC State,Wolfpack,Atlantic Coast Conference,2011–12
Nebraska,Nebraska,Cornhuskers,Big Ten Conference,2012–13
Nevada,Nevada,Wolf Pack,Mountain West Conference,2015–16
New Hampshire,New Hampshire,Wildcats,America East Conference,2005–06
New Mexico,New Mexico,Lobos,Mountain West Conference,2013–14
New Mexico St.,New Mexico State,Aggies,Western Athletic Conference,2016–17
New Orleans,New Orleans,Privateers,Southland Conference,2011–12
Niagara,Niagara,Purple Eagles,Metro Atlantic Athletic Conference,2013–14
Nicholls St.,Nicholls State,Colonels,Southland Conference,2016–17
NJIT,NJIT,Highlanders,Atlantic Sun Conference,2016–17
Norfolk St.,Norfolk State,Spartans,Mid-Eastern Athletic Conference,2013–14
North Carolina,North Carolina,Tar Heels,Atlantic Coast Conference,2003–04
North Carolina A&T,North Carolina A&T,Aggies,Mid-Eastern Athletic Conference,2015–16
